No.,Formula,Solvent,Name (French),CAS,Hansen Set,Green Set,dD,dP,dH,CMR,I_low,T_b,CHO
137,C9H16O4,Diethyl glutarate,Glutarate de diéthyle,818-38-2,X,,16.3,7,7.8,-,4,237,True
138,C9H17NO3,Methyl 5-(dimethylamino)-5-oxopentanoate,Méthyl 5-(diméthylamino)-5-oxopentanoate,368212-04-8,X,,16.5,8.5,9.4,-,5,273,False
139,C9H17NO3,Polarclean,Polarclean,117467-69-9,X,,15.8,10.7,9.2,-,4,280,False
140,C9H18O,"2,6-Dimethylheptan-4-one","2,6-Diméthylheptane-4-one",108-83-8,X,,16,3.7,4.1,-,5,168,True
141,C9H18O4,Glycofurol (n=2),Glycofurol (n=2),52814-38-7,X,,17.1,8,11.8,-,5,303,True
142,C9H20O3,"1,2,3-Triethoxypropane","1,2,3-Triéthoxypropane",162614-45-1,X,,15.5,4.8,3.6,-,5,210,True
143,C10H7Br,1-Bromonaphthalene,1-Bromonaphtalène,90-11-9,X,,20.6,3.1,4.1,-,4,281,False
144,C10H8O4,Dimethyl phthalate,Phtalate de diméthyle,131-11-3,X,,18.6,10.8,4.9,-,5,283,True
145,C10H12,Tetralin,Tétrahydronaphtalène,119-64-2,X,,19.6,2,2.9,-,4,208,True
146,C10H14,p-Cymene,p-Cymène,99-87-6,X,,18.5,2.6,1.9,-,4,177,True
147,C10H16,β-Pinene,β-Pinène,127-91-3,X,,16.9,1.6,1.8,-,4,166,True
148,C10H16,α-Pinene,α-Pinène,80-56-8,X,,16.9,1.8,3.1,-,4,156,True
149,C10H16,Terpinolene,Terpinolène,586-62-9,X,,16.9,1.8,4.8,-,4,182,True
150,C10H16,d-Limonene,d-Limonène,5989-27-5,X,,17.2,1.8,4.3,-,4,175,True
151,C10H18O,"1,4-Cineole","1,4-Cinéole",470-67-7,X,,17,3.4,3.7,-,4,174,True
152,C10H18O,α-Terpineol,α-Terpinéol,98-55-5,X,,17,3.8,10,-,4,218,True
153,C10H18O,Eucalyptol,Eucalyptol,470-82-6,X,,16.7,4.6,3.4,-,4,176,True
154,C10H18O,β-Terpineol,β-Terpinéol,138-87-4,X,,17.5,6.3,10.3,-,5,206,True
155,C10H18O,Geraniol,Géraniol,106-24-1,X,,16.4,3.7,10,-,4,230,True
156,C10H18O4,Diethyl adipate,Adipate de diéthyle,141-28-6,X,,16.4,6.2,7.5,-,4,247,True
157,C10H20O,α-Dihydroterpineol,α-Dihydroterpinéol,498-81-7,X,,16.9,4.1,9.1,-,5,212,True
158,C10H20O,Cyclademol,Cycladémol,25225-09-6,X,,16.5,5,10,-,5,214,True
159,C10H20O,Dihydromyrcenol,Dihydromyrcénol,18479-58-8,X,,16.1,4.6,10,-,4,188,True
160,C10H21NO,"N,N-Dimethyloctanamide","N,N-Diméthyloctanamide",1118-92-9,X,,16.3,7.4,6.3,-,4,257,False
161,C10H22O,Decan-1-ol,Décan-1-ol,112-30-1,X,,16,4.7,10.5,-,4,228,True
162,C10H30O5Si5,Cyclopentasiloxane,Cyclopentasiloxane,541-02-6,X,,12.9,1.3,1,-,4,210,False
163,C11H18O,Nopol,Nopol,128-50-7,X,,17.4,3.7,1.8,-,4,235,True
164,C11H24O3,"2,3-Dibutoxypropan-1-ol","2,3-Dibutoxypropan-1-ol",91337-36-9,X,,15.8,5.4,10.9,-,5,293,True
165,C11H24O3,"1,3-Dibutoxypropan-2-ol","1,3-Dibutoxypropan-2-ol",2216-77-5,X,,15.8,5.7,7.2,-,4,285,True
166,C12H14O4,Diethyl phthalate,Phtalate de diéthyle,84-66-2,,,17.6,9.6,4.5,-,5,294,True
